Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-5308995,Ensemble pour enfants,6000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-nike-3495835,Baskets enfants Nike,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-5309001,Ensemble enfants,6000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-enfant-3496189,Baskets Nike enfant,15000.0,"Biscuiterie, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-5309005,Ensemble pour enfants,6000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3513868,Chaussures enfant,10000.0,"Guediawaye, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-5312820,Vetement enfant,,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-friperie-nike-enfants-3526935,Baskets friperie Nike enfants,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/brassiere-kids-5321500,Brassière kids,3000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-friperie-3526938,Chaussures enfant friperie,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-friperie-enfants-3526941,Chaussures friperie enfants,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/gamme-et-vetement-pour-bebe-5281278,Gamme et vetement pour bébé,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/vetements-et-accessoires-pour-bebe-5281282,Vetements et accéssoires pour bébé,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-friperie-3528219,Chaussures enfant friperie,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/emsemble-coton-5289213,Emsemble  Coton,6000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-friperie-3528221,Chaussures enfant friperie,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/emsemble-coton-5290112,Emsemble coton,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/pantoufles-3529128,Pantoufles,4000.0,"Cambérène, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5336896,Robe enfant,,"Ouakam, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-5328806,Ensemble pour enfants,8000.0,"Colobane, Dakar, Sénégal",
